image_id,model,original_path,upscaled_path,ssim,ms_ssim,psnr,lpips,sharpness,sharpness_diff_pct,contrast,contrast_diff_pct,entropy,noise,edge_density,edge_diff_pct,artifact_block,artifact_ringing,artifact_total,delta_e,high_freq_ratio,texture_complexity,local_quality_mean,local_quality_std,local_quality_min,histogram_corr,lab_L_mean,total_score
00000001_000,model1,D:\ダウンロード\CXR8\CXR8\images\images_001_01\1-100\00000001_000.png,D:\ダウンロード\CXR8\CXR8\images\images_001_01\済\upscapylスタンダード\upscayl_png_upscayl-standard-4x_2x\00000001_000.png,0.9565,0.9917,40.87,0.2321,0.61,-53.2,67.81,0.6,7.846,2.65,0.08,2.6,305.68,46.16,351.84000000000003,0.93,0.3424959866343185,5.021949224174023,0.9514,0.0458,0.5244,0.6333,134.1237268447876,58.3
00000001_000,model2,D:\ダウンロード\CXR8\CXR8\images\images_001_01\1-100\00000001_000.png,D:\ダウンロード\CXR8\CXR8\images\images_001_01\済\upscapylデジタルアート\upscayl_png_digital-art-4x_2x\00000001_000.png,0.93,0.9835,37.74,0.3092,0.9,-31.4,68.49,1.6,7.81,2.44,0.15,91.4,278.72,43.94,322.66,1.18,0.3740395831428396,5.067516379058361,0.9207,0.085,0.2202,0.7595,133.64908123016355,58.5
00000001_000,model3,D:\ダウンロード\CXR8\CXR8\images\images_001_01\1-100\00000001_000.png,D:\ダウンロード\CXR8\CXR8\images\images_001_01\済\upscapyl高忠実度\1-100\upscayl_png_high-fidelity-4x_2x\00000001_000.png,0.9623,0.9951,40.86,0.0968,3.45,162.9,67.67,0.4,7.848,9.03,0.07,-14.9,907.15,46.31,953.46,1.34,0.54504023233904,5.095962602645159,0.9611,0.0336,0.6697,0.7458,132.62558555603027,56.3
00000001_001,model1,D:\ダウンロード\CXR8\CXR8\images\images_001_01\1-100\00000001_001.png,D:\ダウンロード\CXR8\CXR8\images\images_001_01\済\upscapylスタンダード\upscayl_png_upscayl-standard-4x_2x\00000001_001.png,0.964,0.992,39.93,0.2091,0.85,-39.1,65.8,0.7,7.871,2.76,0.27,52.0,319.75,51.72,371.47,0.96,0.3619357485827416,5.280927177518606,0.9598,0.0176,0.8995,0.6161,131.97003936767578,58.4
00000001_001,model2,D:\ダウンロード\CXR8\CXR8\images\images_001_01\1-100\00000001_001.png,D:\ダウンロード\CXR8\CXR8\images\images_001_01\済\upscapylデジタルアート\upscayl_png_digital-art-4x_2x\00000001_001.png,0.9255,0.9823,36.32,0.2915,1.18,-15.4,66.73,2.1,7.778,2.52,0.33,90.1,293.72,51.44,345.16,1.22,0.3723784029242263,5.3113701939582825,0.9186,0.0913,0.2632,0.6125,131.23926067352295,58.5
00000001_001,model3,D:\ダウンロード\CXR8\CXR8\images\images_001_01\1-100\00000001_001.png,D:\ダウンロード\CXR8\CXR8\images\images_001_01\済\upscapyl高忠実度\1-100\upscayl_png_high-fidelity-4x_2x\00000001_001.png,0.9626,0.9953,40.8,0.0961,3.42,144.1,65.45,0.2,7.839,8.67,0.2,13.3,869.92,50.68,920.6,1.29,0.5454604856138536,5.329178413376212,0.9598,0.0375,0.7775,0.641,130.4485321044922,56.4
00000001_002,model1,D:\ダウンロード\CXR8\CXR8\images\images_001_01\1-100\00000001_002.png,D:\ダウンロード\CXR8\CXR8\images\images_001_01\済\upscapylスタンダード\upscayl_png_upscayl-standard-4x_2x\00000001_002.png,0.9618,0.992,35.39,0.0713,3.5,-25.5,70.58,3.3,7.493,2.16,0.49,0.4,242.62,70.74,313.36,1.22,0.3690045800491168,3.526763180270791,0.9616,0.1061,0.359,0.215,173.4616756439209,56.3
00000001_002,model2,D:\ダウンロード\CXR8\CXR8\images\images_001_01\1-100\00000001_002.png,D:\ダウンロード\CXR8\CXR8\images\images_001_01\済\upscapylデジタルアート\upscayl_png_digital-art-4x_2x\00000001_002.png,0.9333,0.9784,32.79,0.1585,3.22,-31.5,71.73,5.0,7.077,1.62,0.52,5.6,181.9,65.72,247.62,1.52,0.3641509835476637,3.455501329153776,0.9224,0.1691,0.0866,0.0531,173.5912094116211,55.8
00000001_002,model3,D:\ダウンロード\CXR8\CXR8\images\images_001_01\1-100\00000001_002.png,D:\ダウンロード\CXR8\CXR8\images\images_001_01\済\upscapyl高忠実度\1-100\upscayl_png_high-fidelity-4x_2x\00000001_002.png,0.9727,0.9947,39.57,0.1051,4.29,-8.8,68.44,0.2,7.583,4.61,0.5,2.8,459.06,53.56,512.62,1.03,0.503235946545284,3.56240289285779,0.9658,0.0449,0.7345,0.9949,171.44298934936523,55.5
00000002_000,model1,D:\ダウンロード\CXR8\CXR8\images\images_001_01\1-100\00000002_000.png,D:\ダウンロード\CXR8\CXR8\images\images_001_01\済\upscapylスタンダード\upscayl_png_upscayl-standard-4x_2x\00000002_000.png,0.9939,0.9919,35.92,0.1088,0.59,0.8,49.29,2.9,7.353,2.83,0.08,38.1,288.18,56.23,344.41,1.15,0.3749213652263897,3.963919747620821,0.9811,0.0047,0.9599,0.6773,187.5588436126709,53.3
00000002_000,model2,D:\ダウンロード\CXR8\CXR8\images\images_001_01\1-100\00000002_000.png,D:\ダウンロード\CXR8\CXR8\images\images_001_01\済\upscapylデジタルアート\upscayl_png_digital-art-4x_2x\00000002_000.png,0.9661,0.9769,33.34,0.2118,0.77,31.5,50.42,5.3,7.183,2.3,0.12,95.2,222.61,45.43,268.04,1.42,0.3868691994782929,3.897430440410972,0.9542,0.0234,0.8513,0.4231,187.67772006988525,53.3
00000002_000,model3,D:\ダウンロード\CXR8\CXR8\images\images_001_01\1-100\00000002_000.png,D:\ダウンロード\CXR8\CXR8\images\images_001_01\済\upscapyl高忠実度\1-100\upscayl_png_high-fidelity-4x_2x\00000002_000.png,0.98,0.9943,40.29,0.1176,2.33,300.3,48.29,0.8,7.327,6.28,0.07,21.4,600.41,43.1,643.51,1.12,0.5481383826805997,3.9994924888014793,0.9602,0.0382,0.8164,0.9952,185.3284950256348,52.1
00000003_000,model1,D:\ダウンロード\CXR8\CXR8\images\images_001_01\1-100\00000003_000.png,D:\ダウンロード\CXR8\CXR8\images\images_001_01\済\upscapylスタンダード\upscayl_png_upscayl-standard-4x_2x\00000003_000.png,0.9646,0.9921,39.53,0.1992,2.57,22.4,73.2,1.0,7.884,2.86,0.48,15.0,320.39,59.96,380.35,0.96,0.4232082430175657,5.141634251922369,0.9605,0.0187,0.8802,0.7058,130.76814365386963,59.4
00000003_000,model2,D:\ダウンロード\CXR8\CXR8\images\images_001_01\1-100\00000003_000.png,D:\ダウンロード\CXR8\CXR8\images\images_001_01\済\upscapylデジタルアート\upscayl_png_digital-art-4x_2x\00000003_000.png,0.9286,0.9832,36.33,0.2816,2.92,38.7,73.88,1.9,7.792,2.59,0.48,15.6,288.08,55.07,343.15,1.22,0.4544963938263512,5.159732680767775,0.9246,0.0683,0.4705,0.6459,130.24752140045166,59.5
00000003_000,model3,D:\ダウンロード\CXR8\CXR8\images\images_001_01\1-100\00000003_000.png,D:\ダウンロード\CXR8\CXR8\images\images_001_01\済\upscapyl高忠実度\1-100\upscayl_png_high-fidelity-4x_2x\00000003_000.png,0.9733,0.9958,41.59,0.0786,3.81,81.4,72.61,0.2,7.841,7.6,0.41,-0.6,765.62,58.37,823.99,1.19,0.5045530759504362,5.153057388961315,0.9731,0.014,0.9109,0.8277,129.2609930038452,57.6
00000003_001,model1,D:\ダウンロード\CXR8\CXR8\images\images_001_01\1-100\00000003_001.png,D:\ダウンロード\CXR8\CXR8\images\images_001_01\済\upscapylスタンダード\upscayl_png_upscayl-standard-4x_2x\00000003_001.png,0.9863,0.9931,37.39,0.0819,3.89,-25.2,67.94,2.0,7.664,2.43,0.56,9.5,283.44,61.15,344.59,1.09,0.3619951576415875,4.480943754315376,0.9836,0.0045,0.9603,0.4412,165.5776128768921,57.5
00000003_001,model2,D:\ダウンロード\CXR8\CXR8\images\images_001_01\1-100\00000003_001.png,D:\ダウンロード\CXR8\CXR8\images\images_001_01\済\upscapylデジタルアート\upscayl_png_digital-art-4x_2x\00000003_001.png,0.9686,0.9793,34.2,0.1729,3.54,-31.9,68.83,3.4,7.466,1.97,0.6,17.1,232.89,58.31,291.2,1.34,0.3662096484430892,4.475642088800669,0.9601,0.0292,0.7018,0.1946,165.65590953826904,57.4
00000003_001,model3,D:\ダウンロード\CXR8\CXR8\images\images_001_01\1-100\00000003_001.png,D:\ダウンロード\CXR8\CXR8\images\images_001_01\済\upscapyl高忠実度\1-100\upscayl_png_high-fidelity-4x_2x\00000003_001.png,0.9765,0.9951,39.78,0.1032,4.95,-5.0,66.7,0.2,7.641,5.1,0.57,10.2,513.89,54.14,568.03,1.03,0.5036177334964117,4.491895716637373,0.9683,0.036,0.8116,0.9947,163.7540512084961,56.5
